Field1,Field2_text,Field2_links,Field3
AN 5:2  Vitthata Sutta (Strengths) | In Detail,AN 5:2,https://www.dhammatalks.org/suttas/AN/AN5_2.html,"AN 5:2  Vitthata Sutta (Strengths) | In Detail  —  Five strengths for one in training: conviction, a sense of shame, a sense of compunction, persistence, and discernment."
AN 5:7  Kāmesu Sutta | By Sensuality,AN 5:7,https://www.dhammatalks.org/suttas/AN/AN5_7.html,AN 5:7  Kāmesu Sutta | By Sensuality  —  At what point a monk can be trusted to look after himself.
AN 5:20  Hita Sutta | Benefit,AN 5:20,https://www.dhammatalks.org/suttas/AN/AN5_20.html,AN 5:20  Hita Sutta | Benefit  —  Five ways of practicing for your own benefit and that of others.
AN 5:23  Upakkilesa Sutta | Defilements,AN 5:23,https://www.dhammatalks.org/suttas/AN/AN5_23.html,"AN 5:23  Upakkilesa Sutta | Defilements  —  When the mind is freed of hindrances, it’s like gold that has been freed of impurities."
AN 5:25  Anugghita Sutta | Supported,AN 5:25,https://www.dhammatalks.org/suttas/AN/AN5_25.html,AN 5:25  Anugghita Sutta | Supported  —  Five supports for right view that lead to release.
AN 5:26  Vimutti Sutta | Release,AN 5:26,https://www.dhammatalks.org/suttas/AN/AN5_26.html,AN 5:26  Vimutti Sutta | Release  —  Five ways to induce an opening to release.
AN 5:27  Samādhi Sutta | (Immeasurable) Concentration,AN 5:27,https://www.dhammatalks.org/suttas/AN/AN5_27.html,AN 5:27  Samādhi Sutta | (Immeasurable) Concentration  —  Five rewards of practicing immeasurable concentration.
AN 5:28  Samādhaṅga Sutta | The Factors of Concentration,AN 5:28,https://www.dhammatalks.org/suttas/AN/AN5_28.html,AN 5:28  Samādhaṅga Sutta | The Factors of Concentration  —  Five-factored concentration and the six higher knowledges that it can lead to.
AN 5:29  Caṅkama Sutta | Walking,AN 5:29,https://www.dhammatalks.org/suttas/AN/AN5_29.html,AN 5:29  Caṅkama Sutta | Walking  —  Five rewards of walking meditation.
AN 5:30  Nāgita Sutta | To Nāgita,AN 5:30,https://www.dhammatalks.org/suttas/AN/AN5_30.html,"AN 5:30  Nāgita Sutta | To Nāgita  —  In a stern rebuke to Ven. Nāgita, the Buddha explains why he is not attracted to “this slimy-excrement-pleasure, this torpor-pleasure, this pleasure of gains, offerings, & fame.”"
AN 5:31  Sumanā Sutta | To Princess Sumanā,AN 5:31,https://www.dhammatalks.org/suttas/AN/AN5_31.html,"AN 5:31  Sumanā Sutta | To Princess Sumanā  —  Princess Sumanā asks the Buddha about the different rewards awaiting two people who are equal in terms of conviction, virtue, and discernment, but who differ in that one gives alms and the other doesn’t."
AN 5:34  Sīha Sutta | To General Sīha (On Giving),AN 5:34,https://www.dhammatalks.org/suttas/AN/AN5_34.html,"AN 5:34  Sīha Sutta | To General Sīha (On Giving)  —  Four rewards of generosity in the here-&-now, and one in the next life."
AN 5:36  Kāladāna Sutta | Seasonable Gifts,AN 5:36,https://www.dhammatalks.org/suttas/AN/AN5_36.html,"AN 5:36  Kāladāna Sutta | Seasonable Gifts  —  Five seasonable gifts, and the rewards of giving in season—or of assisting with such gifts and/or rejoicing in them."
AN 5:37  Bhojana Sutta | A Meal,AN 5:37,https://www.dhammatalks.org/suttas/AN/AN5_37.html,"AN 5:37  Bhojana Sutta | A Meal  —  What one gives to another person when giving a meal, and what one receives in return."
AN 5:38  Saddha Sutta | Conviction,AN 5:38,https://www.dhammatalks.org/suttas/AN/AN5_38.html,AN 5:38  Saddha Sutta | Conviction  —  Five rewards that a layperson receives because of his/her conviction.
AN 5:41  Ādiya Sutta | Benefits to be Obtained (from Wealth),AN 5:41,https://www.dhammatalks.org/suttas/AN/AN5_41.html,"AN 5:41  Ādiya Sutta | Benefits to be Obtained (from Wealth)  —  Five benefits that can be obtained from wealth such that, if one then loses ones wealth, one feels no remorse."
