Field1,Field2_links
Iti 28  —  Not guarding the doors of the sense faculties and knowing no moderation in food leads to suffering in this life and the next.,https://www.dhammatalks.org/suttas/KN/Iti/iti28.html
Iti 29  —  Guarding the doors of the sense faculties and knowing moderation in food leads to ease in this life and the next.,https://www.dhammatalks.org/suttas/KN/Iti/iti29.html
Iti 30  —  Two things that cause remorse.,https://www.dhammatalks.org/suttas/KN/Iti/iti30.html
Iti 31  —  Two things that cause lack of remorse.,https://www.dhammatalks.org/suttas/KN/Iti/iti31.html
Iti 32  —  A person of evil habits and evil views is as if in hell in this lifetime.,https://www.dhammatalks.org/suttas/KN/Iti/iti32.html
Iti 33  —  A person of auspicious habits and auspicious views is as if in heaven in this lifetime.,https://www.dhammatalks.org/suttas/KN/Iti/iti33.html
Iti 34  —  To lack ardency and compunction makes you incapable of unbinding.,https://www.dhammatalks.org/suttas/KN/Iti/iti34.html
Iti 35  —  The holy life is lived for the purpose of restraint and abandoning.,https://www.dhammatalks.org/suttas/KN/Iti/iti35.html
Iti 36  —  The holy life is lived for the purpose of direct knowledge and full comprehension.,https://www.dhammatalks.org/suttas/KN/Iti/iti36.html
"Iti 37  —  A sense of urgency and appropriate exertion bring ease here-and-now, and lead to the ending of the effluents.",https://www.dhammatalks.org/suttas/KN/Iti/iti37.html
Iti 38  —  Two thoughts that often occur to the Buddha as he delights in non-ill will and seclusion.,https://www.dhammatalks.org/suttas/KN/Iti/iti38.html
"Iti 39  —  Two Dhamma sequences: see evil as evil, and become released from it.",https://www.dhammatalks.org/suttas/KN/Iti/iti39.html
Iti 40  —  Ignorance leads to lack of shame and compunction.,https://www.dhammatalks.org/suttas/KN/Iti/iti40.html
Iti 41  —  The rewards of noble discernment.,https://www.dhammatalks.org/suttas/KN/Iti/iti41.html
Iti 42  —  Shame and compunction safeguard the world.,https://www.dhammatalks.org/suttas/KN/Iti/iti42.html
Iti 43  —  The existence of an unfabricated dimension allows for the escape from fabrication.,https://www.dhammatalks.org/suttas/KN/Iti/iti43.html
Iti 44  —  Two unbinding properties: with fuel remaining and with no fuel remaining.,https://www.dhammatalks.org/suttas/KN/Iti/iti44.html
"Iti 45  —  Live enjoying aloofness, delighting in aloofness, inwardly committed to awareness-tranquility, not neglecting jhāna, endowed with clear-seeing insight, and frequenting empty buildings.",https://www.dhammatalks.org/suttas/KN/Iti/iti45.html
"Iti 46  —  Live with the trainings as your reward, with discernment uppermost, with release the essence, and with mindfulness the governing principle.",https://www.dhammatalks.org/suttas/KN/Iti/iti46.html
"Iti 47  —  Be wakeful, mindful, alert, centered, sensitive, clear, and calm. And there you should, at the appropriate times, see clearly into skillful mental qualities.",https://www.dhammatalks.org/suttas/KN/Iti/iti47.html
Iti 48  —  Two types of behavior that lead to hell.,https://www.dhammatalks.org/suttas/KN/Iti/iti48.html
Iti 49  —  How those with vision differ from those who adhere to craving for becoming and those who slip past into craving for non-becoming.,https://www.dhammatalks.org/suttas/KN/Iti/iti49.html
