Field1,Field2_links
Iti 50  —  Three roots of what is unskillful.,https://www.dhammatalks.org/suttas/KN/Iti/iti50.html
"Iti 51  —  Three properties: form, formlessness, cessation.",https://www.dhammatalks.org/suttas/KN/Iti/iti51.html
Iti 52  —  Three feelings.,https://www.dhammatalks.org/suttas/KN/Iti/iti52.html
Iti 53  —  How the three types of feeling should be viewed.,https://www.dhammatalks.org/suttas/KN/Iti/iti53.html
"Iti 54  —  Three searches: for sensuality, for becoming, for a holy life.",https://www.dhammatalks.org/suttas/KN/Iti/iti54.html
"Iti 55  —  Three searches: for sensuality, for becoming, for a holy life.",https://www.dhammatalks.org/suttas/KN/Iti/iti55.html
Iti 56  —  Three effluents.,https://www.dhammatalks.org/suttas/KN/Iti/iti56.html
Iti 57  —  Three effluents.,https://www.dhammatalks.org/suttas/KN/Iti/iti57.html
Iti 58  —  Three cravings.,https://www.dhammatalks.org/suttas/KN/Iti/iti58.html
Iti 59  —  Three qualities that lead beyond Māra’s domain.,https://www.dhammatalks.org/suttas/KN/Iti/iti59.html
Iti 60  —  Three grounds for meritorious activity.,https://www.dhammatalks.org/suttas/KN/Iti/iti60.html
"Iti 61  —  Three eyes: the eye of flesh, the divine eye, and the eye of discernment.",https://www.dhammatalks.org/suttas/KN/Iti/iti61.html
Iti 62  —  The noble attainments described in terms of three faculties.,https://www.dhammatalks.org/suttas/KN/Iti/iti62.html
Iti 63  —  Three time periods and the importance of comprehending signs.,https://www.dhammatalks.org/suttas/KN/Iti/iti63.html
Iti 64  —  Three kinds of misconduct.,https://www.dhammatalks.org/suttas/KN/Iti/iti64.html
Iti 65  —  Three kinds of good conduct.,https://www.dhammatalks.org/suttas/KN/Iti/iti65.html
"Iti 66  —  Three kinds of cleanliness: bodily, verbal, and mental.",https://www.dhammatalks.org/suttas/KN/Iti/iti66.html
"Iti 67  —  Three forms of sagacity: bodily, verbal, and mental.",https://www.dhammatalks.org/suttas/KN/Iti/iti67.html
"Iti 68  —  One whose passion, aversion, and delusion are abandoned is freed from Māra’s power.",https://www.dhammatalks.org/suttas/KN/Iti/iti68.html
"Iti 69  —  To abandon passion, aversion, and delusion is like crossing over the dangers of the ocean.",https://www.dhammatalks.org/suttas/KN/Iti/iti69.html
"Iti 70  —  The Buddha reports having seen, for himself, beings reborn in planes of deprivation in line with their wrong views and evil actions.",https://www.dhammatalks.org/suttas/KN/Iti/iti70.html
"Iti 71  —  The Buddha reports having seen, for himself, beings reborn in good destinations in line with their right views and good actions.",https://www.dhammatalks.org/suttas/KN/Iti/iti71.html
"Iti 72  —  Three properties for escape: from sensuality, from form, and from whatever is fabricated and dependently co-arisen.",https://www.dhammatalks.org/suttas/KN/Iti/iti72.html
"Iti 73  —  Formless phenomena are more peaceful than forms; cessation, more peaceful than formless phenomena.",https://www.dhammatalks.org/suttas/KN/Iti/iti73.html
"Iti 74  —  Three types of sons and daughters (when compared to their parents): of heightened birth, of similar birth, and of lowered birth.",https://www.dhammatalks.org/suttas/KN/Iti/iti74.html
"Iti 75  —  Three types of people: one like a cloud without rain, one who rains locally, and one who rains everywhere.",https://www.dhammatalks.org/suttas/KN/Iti/iti75.html
"Iti 76  —  Aspiring to three forms of bliss, wise people should guard their virtue.",https://www.dhammatalks.org/suttas/KN/Iti/iti76.html
